,Start (s),End (s),Scientific name,Common name,Confidence
300,534.0,537.0,Cinnyris jugularis,Olive-backed Sunbird,0.2364
100,210.0,213.0,Anthreptes malacensis,Brown-throated Sunbird,0.2363
33,108.0,111.0,Spinus tristis,American Goldfinch,0.2357
204,390.0,393.0,Cinnyris jugularis,Olive-backed Sunbird,0.2352
122,240.0,243.0,Cinnyris jugularis,Olive-backed Sunbird,0.2346
242,459.0,462.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2323
183,342.0,345.0,Epinecrophylla fulviventris,Checker-throated Stipplethroat,0.2323
61,165.0,168.0,Spinus pinus,Pine Siskin,0.2295
110,225.0,228.0,Anthreptes malacensis,Brown-throated Sunbird,0.2284
240,456.0,459.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2282
18,72.0,75.0,Tyrannus tyrannus,Eastern Kingbird,0.2278
125,243.0,246.0,Anthreptes malacensis,Brown-throated Sunbird,0.2271
223,426.0,429.0,Zosterops meyeni,Lowland White-eye,0.2247
272,495.0,498.0,Myiodynastes chrysocephalus,Golden-crowned Flycatcher,0.2239
27,90.0,93.0,Anthreptes malacensis,Brown-throated Sunbird,0.2205
15,63.0,66.0,Aplonis panayensis,Asian Glossy Starling,0.2194
328,576.0,579.0,Psittacula longicauda,Long-tailed Parakeet,0.2188
2,27.0,30.0,Human vocal,Human vocal,0.2179
90,195.0,198.0,Cinnyris jugularis,Olive-backed Sunbird,0.2172
281,516.0,519.0,Psittacula longicauda,Long-tailed Parakeet,0.2171
120,237.0,240.0,Cinnyris jugularis,Olive-backed Sunbird,0.2156
113,228.0,231.0,Anthreptes malacensis,Brown-throated Sunbird,0.2145
114,228.0,231.0,Passer domesticus,House Sparrow,0.2133
276,498.0,501.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2127
329,576.0,579.0,Porzana porzana,Spotted Crake,0.2119
9,45.0,48.0,Pycnonotus plumosus,Olive-winged Bulbul,0.2118
330,576.0,579.0,Amazona autumnalis,Red-lored Parrot,0.2109
335,588.0,591.0,Toxostoma redivivum,California Thrasher,0.2084
268,492.0,495.0,Cinnyris jugularis,Olive-backed Sunbird,0.203
128,246.0,249.0,Helopsaltes certhiola,Pallas's Grasshopper Warbler,0.1987
62,168.0,171.0,Anthreptes malacensis,Brown-throated Sunbird,0.1949
